        raio     massa        dens        press        temp        lumin  transp
      0.570    -41.152     0.34D+03     0.44D+19     0.97D+08 **********     2
      0.565    -46.934     0.41D+03     0.60D+19     0.11D+09 **********     2
      0.560    -53.751     0.49D+03     0.83D+19     0.12D+09 **********     2
      0.555    -61.849     0.60D+03     0.12D+20     0.14D+09 **********     2
      0.550    -71.556     0.74D+03     0.16D+20     0.16D+09 **********     2
      0.545    -83.316     0.93D+03     0.23D+20     0.19D+09 **********     2
      0.540    -97.744     0.12D+04     0.34D+20     0.22D+09 **********     2
      0.535   -115.716     0.15D+04     0.51D+20     0.25D+09 **********     2
      0.530   -138.509     0.20D+04     0.79D+20     0.29D+09 **********     2
      0.525   -168.052     0.27D+04     0.13D+21     0.34D+09 **********     2
      0.520   -207.354     0.38D+04     0.21D+21     0.40D+09 **********     2
      0.515   -261.290     0.55D+04     0.36D+21     0.48D+09 **********     2
      0.510   -338.120     0.84D+04     0.66D+21     0.58D+09 **********     2
      0.505   -452.561     0.14D+05     0.13D+22     0.71D+09 **********     2
      0.500   -632.441     0.23D+05     0.28D+22     0.90D+09 **********     2
      0.495   -934.269     0.43D+05     0.67D+22     0.12D+10 **********     2
      0.490  -1483.190     0.88D+05     0.18D+23     0.15D+10 **********     2
      0.485  -2587.771     0.21D+06     0.60D+23     0.22D+10 **********     2
      0.480  -5119.554     0.57D+06     0.25D+24     0.33D+10 **********     2
      0.475 -12013.114     0.20D+07     0.15D+25     0.56D+10 **********     2
      0.470 -35754.282     0.99D+07     0.15D+26     0.11D+11 **********     2
      0.465 **********     0.79D+08     0.29D+27     0.28D+11 **********     2
      0.460 **********     0.13D+10     0.17D+29     0.98D+11 **********     2
      0.455 **********     0.62D+11     0.50D+31     0.60D+12 **********     2
      0.450 **********     0.15D+14     0.16D+35     0.81D+13 **********     2
      0.445 **********     0.39D+17     0.19D+40     0.35D+15 **********     2
      0.440 **********     0.33D+22     0.37D+47     0.82D+17 **********     2
      0.435 **********     0.42D+29     0.12D+58     0.21D+21 **********     2
      0.430 **********     0.73D+39     0.18D+73     0.18D+26 **********     2
      0.425 **********     0.44D+54     0.14D+95     0.23D+33 **********     2
      0.420 **********     0.89D+75     0.48+126     0.40D+43 **********     2
      0.415 **********     0.47+106     0.15+172     0.24D+58 **********     2
      0.410 **********     0.11+151     0.69+237     0.49D+79 **********     1
      0.405 **********          NaN    +Infinity    +Infinity  -Infinity     1
      0.400        NaN          NaN          NaN          NaN        NaN     1
      0.395        NaN          NaN          NaN          NaN        NaN     1
      0.390        NaN          NaN          NaN          NaN        NaN     1
      0.385        NaN          NaN          NaN          NaN        NaN     1
      0.380        NaN          NaN          NaN          NaN        NaN     1
      0.375        NaN          NaN          NaN          NaN        NaN     1
      0.370        NaN          NaN          NaN          NaN        NaN     1
      0.365        NaN          NaN          NaN          NaN        NaN     1
      0.360        NaN          NaN          NaN          NaN        NaN     1
      0.355        NaN          NaN          NaN          NaN        NaN     1
      0.350        NaN          NaN          NaN          NaN        NaN     1
      0.345        NaN          NaN          NaN          NaN        NaN     1
      0.340        NaN          NaN          NaN          NaN        NaN     1
      0.335        NaN          NaN          NaN          NaN        NaN     1
      0.330        NaN          NaN          NaN          NaN        NaN     1
      0.325        NaN          NaN          NaN          NaN        NaN     1
      0.320        NaN          NaN          NaN          NaN        NaN     1
      0.315        NaN          NaN          NaN          NaN        NaN     1
      0.310        NaN          NaN          NaN          NaN        NaN     1
      0.305        NaN          NaN          NaN          NaN        NaN     1
      0.300        NaN          NaN          NaN          NaN        NaN     1
      0.295        NaN          NaN          NaN          NaN        NaN     1
      0.290        NaN          NaN          NaN          NaN        NaN     1
      0.285        NaN          NaN          NaN          NaN        NaN     1
      0.280        NaN          NaN          NaN          NaN        NaN     1
      0.275        NaN          NaN          NaN          NaN        NaN     1
      0.270        NaN          NaN          NaN          NaN        NaN     1
      0.265        NaN          NaN          NaN          NaN        NaN     1
      0.260        NaN          NaN          NaN          NaN        NaN     1
      0.255        NaN          NaN          NaN          NaN        NaN     1
      0.250        NaN          NaN          NaN          NaN        NaN     1
      0.245        NaN          NaN          NaN          NaN        NaN     1
      0.240        NaN          NaN          NaN          NaN        NaN     1
      0.235        NaN          NaN          NaN          NaN        NaN     1
      0.230        NaN          NaN          NaN          NaN        NaN     1
      0.225        NaN          NaN          NaN          NaN        NaN     1
      0.220        NaN          NaN          NaN          NaN        NaN     1
      0.215        NaN          NaN          NaN          NaN        NaN     1
      0.210        NaN          NaN          NaN          NaN        NaN     1
      0.205        NaN          NaN          NaN          NaN        NaN     1
      0.200        NaN          NaN          NaN          NaN        NaN     1
      0.195        NaN          NaN          NaN          NaN        NaN     1
      0.190        NaN          NaN          NaN          NaN        NaN     1
      0.185        NaN          NaN          NaN          NaN        NaN     1
      0.180        NaN          NaN          NaN          NaN        NaN     1
      0.175        NaN          NaN          NaN          NaN        NaN     1
      0.170        NaN          NaN          NaN          NaN        NaN     1
      0.165        NaN          NaN          NaN          NaN        NaN     1
      0.160        NaN          NaN          NaN          NaN        NaN     1
      0.155        NaN          NaN          NaN          NaN        NaN     1
      0.150        NaN          NaN          NaN          NaN        NaN     1
      0.145        NaN          NaN          NaN          NaN        NaN     1
      0.140        NaN          NaN          NaN          NaN        NaN     1
      0.135        NaN          NaN          NaN          NaN        NaN     1
