    raio       pgas        prad      epspp      epscno    epstot
  0.635D+00  0.150D+18  0.939D+15  0.992D+02  0.295D+05  0.296D+05
  0.630D+00  0.187D+18  0.108D+16  0.157D+03  0.174D+06  0.174D+06
  0.625D+00  0.237D+18  0.161D+16  0.246D+03  0.100D+07  0.100D+07
  0.620D+00  0.302D+18  0.242D+16  0.385D+03  0.558D+07  0.558D+07
  0.615D+00  0.386D+18  0.368D+16  0.600D+03  0.302D+08  0.302D+08
  0.610D+00  0.495D+18  0.561D+16  0.932D+03  0.159D+09  0.159D+09
  0.605D+00  0.638D+18  0.863D+16  0.144D+04  0.816D+09  0.816D+09
  0.600D+00  0.827D+18  0.134D+17  0.222D+04  0.407D+10  0.407D+10
  0.595D+00  0.108D+19  0.209D+17  0.341D+04  0.197D+11  0.197D+11
  0.590D+00  0.141D+19  0.329D+17  0.522D+04  0.932D+11  0.932D+11
  0.585D+00  0.186D+19  0.522D+17  0.799D+04  0.429D+12  0.429D+12
  0.580D+00  0.246D+19  0.836D+17  0.122D+05  0.193D+13  0.193D+13
  0.575D+00  0.329D+19  0.135D+18  0.186D+05  0.845D+13  0.845D+13
  0.570D+00  0.444D+19  0.221D+18  0.285D+05  0.362D+14  0.362D+14
  0.565D+00  0.604D+19  0.364D+18  0.437D+05  0.152D+15  0.152D+15
  0.560D+00  0.830D+19  0.608D+18  0.673D+05  0.627D+15  0.627D+15
  0.555D+00  0.115D+20  0.103D+19  0.104D+06  0.254D+16  0.254D+16
  0.550D+00  0.163D+20  0.176D+19  0.163D+06  0.102D+17  0.102D+17
  0.545D+00  0.234D+20  0.306D+19  0.257D+06  0.405D+17  0.405D+17
  0.540D+00  0.342D+20  0.541D+19  0.413D+06  0.160D+18  0.160D+18
  0.535D+00  0.512D+20  0.976D+19  0.677D+06  0.637D+18  0.637D+18
  0.530D+00  0.788D+20  0.180D+20  0.114D+07  0.255D+19  0.255D+19
  0.525D+00  0.125D+21  0.341D+20  0.197D+07  0.104D+20  0.104D+20
  0.520D+00  0.207D+21  0.666D+20  0.355D+07  0.440D+20  0.440D+20
  0.515D+00  0.360D+21  0.135D+21  0.673D+07  0.194D+21  0.194D+21
  0.510D+00  0.661D+21  0.289D+21  0.136D+08  0.905D+21  0.905D+21
  0.505D+00  0.130D+22  0.657D+21  0.294D+08  0.459D+22  0.459D+22
  0.500D+00  0.279D+22  0.162D+22  0.704D+08  0.258D+23  0.258D+23
  0.495D+00  0.667D+22  0.446D+22  0.190D+09  0.167D+24  0.167D+24
  0.490D+00  0.183D+23  0.143D+23  0.604D+09  0.129D+25  0.129D+25
  0.485D+00  0.604D+23  0.562D+23  0.238D+10  0.125D+26  0.125D+26
  0.480D+00  0.255D+24  0.297D+24  0.125D+11  0.160D+27  0.160D+27
  0.475D+00  0.151D+25  0.242D+25  0.990D+11  0.285D+28  0.285D+28
  0.470D+00  0.146D+26  0.369D+26  0.139D+13  0.746D+29  0.746D+29
  0.465D+00  0.291D+27  0.145D+28  0.454D+14  0.299D+31  0.299D+31
  0.460D+00  0.170D+29  0.234D+30  0.502D+16  0.193D+33  0.193D+33
  0.455D+00  0.501D+31  0.323D+33  0.339D+19  0.234D+35  0.234D+35
  0.450D+00  0.164D+35  0.109D+38  0.338D+23  0.847D+37  0.847D+37
  0.445D+00  0.187D+40  0.397D+44  0.181D+29  0.227D+41  0.227D+41
  0.440D+00  0.368D+47  0.116D+54  0.315D+37  0.157D+46  0.157D+46
  0.435D+00  0.121D+58  0.525D+67  0.241D+49  0.142D+53  0.142D+53
  0.430D+00  0.178D+73  0.270D+87  0.340D+66  0.159D+63  0.340D+66
  0.425D+00  0.136D+95  0.688+115  0.178D+91  0.478D+77  0.178D+91
  0.420D+00  0.479+126  0.631+156  0.795+126  0.352D+98  0.795+126
  0.415D+00  0.153+172  0.857+215  0.225+178  0.492+128  0.225+178
  0.410D+00  0.693+237  +Infinity        NaN        NaN        NaN
  0.405D+00  +Infinity  +Infinity        NaN        NaN        NaN
  0.400D+00        NaN        NaN        NaN        NaN        NaN
  0.395D+00        NaN        NaN        NaN        NaN        NaN
  0.390D+00        NaN        NaN        NaN        NaN        NaN
  0.385D+00        NaN        NaN        NaN        NaN        NaN
  0.380D+00        NaN        NaN        NaN        NaN        NaN
  0.375D+00        NaN        NaN        NaN        NaN        NaN
  0.370D+00        NaN        NaN        NaN        NaN        NaN
  0.365D+00        NaN        NaN        NaN        NaN        NaN
  0.360D+00        NaN        NaN        NaN        NaN        NaN
  0.355D+00        NaN        NaN        NaN        NaN        NaN
  0.350D+00        NaN        NaN        NaN        NaN        NaN
  0.345D+00        NaN        NaN        NaN        NaN        NaN
  0.340D+00        NaN        NaN        NaN        NaN        NaN
  0.335D+00        NaN        NaN        NaN        NaN        NaN
  0.330D+00        NaN        NaN        NaN        NaN        NaN
  0.325D+00        NaN        NaN        NaN        NaN        NaN
  0.320D+00        NaN        NaN        NaN        NaN        NaN
  0.315D+00        NaN        NaN        NaN        NaN        NaN
  0.310D+00        NaN        NaN        NaN        NaN        NaN
  0.305D+00        NaN        NaN        NaN        NaN        NaN
  0.300D+00        NaN        NaN        NaN        NaN        NaN
  0.295D+00        NaN        NaN        NaN        NaN        NaN
  0.290D+00        NaN        NaN        NaN        NaN        NaN
